level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	8	1	3	6	0	0	2501	3528	96	本
5	1	8	1	3	7	1252	674	39	40	96	品
5	1	8	1	3	8	1305	673	94	42	96	过
5	1	8	1	3	9	0	0	2501	3528	96	敏
5	1	8	1	3	10	1409	673	41	43	96	者
5	1	8	1	3	11	1461	672	90	44	96	禁
5	1	8	1	3	12	0	0	2501	3528	96	用
5	1	8	1	3	13	1568	701	10	10	82	。
3	1	8	2	0	0	461	780	756	52	-1	
4	1	8	2	1	0	461	780	756	52	-1	
5	1	8	2	1	1	461	781	53	49	96	【
5	1	8	2	1	2	515	781	25	50	96	药
5	1	8	2	1	3	551	782	97	49	96	品
5	1	8	2	1	4	660	782	50	50	96	名
5	1	8	2	1	5	721	782	20	49	96	称
5	1	8	2	1	6	0	0	2501	3528	94	】
5	1	8	2	1	7	772	783	49	47	96	通
5	1	8	2	1	8	829	782	101	50	96	用
5	1	8	2	1	9	942	782	38	49	96	名
5	1	8	2	1	10	982	790	30	38	93	称
5	1	8	2	1	11	0	0	2501	3528	83	:
5	1	8	2	1	12	1056	782	78	50	95	骨
5	1	8	2	1	13	1134	780	29	49	84	肽
5	1	8	2	1	14	1173	781	44	51	96	片
3	1	8	3	0	0	773	855	650	51	-1	
4	1	8	3	1	0	773	855	650	51	-1	
5	1	8	3	1	1	773	855	157	50	81	英文名
5	1	8	3	1	2	942	855	69	51	87	称=
5	1	8	3	1	3	1053	861	192	40	72	Ossotlde
5	1	8	3	1	4	1262	861	161	39	92	Tablets
3	1	8	4	0	0	460	930	1586	128	-1	
4	1	8	4	1	0	772	930	516	52	-1	
5	1	8	4	1	1	772	933	73	48	91	汉
5	1	8	4	1	2	846	932	58	50	96	语
5	1	8	4	1	3	903	930	89	52	96	拼
5	1	8	4	1	4	1003	956	8	21	93	音
5	1	8	4	1	5	0	0	2501	3528	89	:
5	1	8	4	1	6	1053	937	122	40	91	Gutai
5	1	8	4	1	7	1190	936	98	41	92	Pian
4	1	8	4	2	0	460	1005	1586	53	-1	
5	1	8	4	2	1	460	1006	81	50	96	【
5	1	8	4	2	2	0	0	2501	3528	86	成
5	1	8	4	2	3	0	0	2501	3528	59	“
5	1	8	4	2	4	660	1007	49	50	80	份
5	1	8	4	2	5	721	1007	19	49	89	】
5	1	8	4	2	6	773	1006	48	51	90	本
5	1	8	4	2	7	833	1007	102	50	96	品
5	1	8	4	2	8	0	0	2501	3528	96	为
5	1	8	4	2	9	949	1007	71	49	96	健
5	1	8	4	2	10	1015	1006	70	50	95	康
5	1	8	4	2	11	1085	1007	33	50	96	猪
5	1	8	4	2	12	1125	1007	78	49	96	或
5	1	8	4	2	13	1204	1006	74	50	96	胎
5	1	8	4	2	14	1278	1008	45	48	96	牛
5	1	8	4	2	15	1325	1008	19	48	96	四
5	1	8	4	2	16	1359	1006	48	50	94	肢
5	1	8	4	2	17	1415	1006	105	51	96	骨
5	1	8	4	2	18	0	0	2501	3528	96	提
5	1	8	4	2	19	1530	1008	49	48	96	取
5	1	8	4	2	20	1588	1006	50	51	96	物
5	1	8	4	2	21	1647	1007	76	50	96	骨
5	1	8	4	2	22	1725	1005	75	52	96	肽
5	1	8	4	2	23	1795	1007	59	50	96	粉
5	1	8	4	2	24	1858	1007	32	51	96	制
5	1	8	4	2	25	1891	1007	38	49	96	成
5	1	8	4	2	26	1943	1007	46	49	96	的
5	1	8	4	2	27	1999	1006	47	52	96	片
3	1	8	5	0	0	774	1079	1306	54	-1	
4	1	8	5	1	0	774	1079	1306	54	-1	
5	1	8	5	1	1	774	1080	66	51	91	剂
5	1	8	5	1	2	0	0	2501	3528	93	,
5	1	8	5	1	3	885	1080	50	51	76	每
5	1	8	5	1	4	943	1080	47	50	96	片
5	1	8	5	1	5	999	1080	50	50	96	含
5	1	8	5	1	6	1059	1080	72	50	96	多
5	1	8	5	1	7	1134	1079	27	49	92	肽
5	1	8	5	1	8	1170	1079	103	52	96	类
5	1	8	5	1	9	1279	1085	14	45	96	物
5	1	8	5	1	10	1291	1080	74	50	96	质
5	1	8	5	1	11	1366	1080	40	50	93	不
5	1	8	5	1	12	1408	1082	86	48	93	低
5	1	8	5	1	13	1501	1086	21	40	96	于
5	1	8	5	1	14	1527	1086	103	47	59	40mg。
5	1	8	5	1	15	1670	1080	81	51	89	辅
5	1	8	5	1	16	1753	1081	22	49	96	料
5	1	8	5	1	17	1784	1080	44	51	96	为
5	1	8	5	1	18	1838	1084	50	44	96	玉
5	1	8	5	1	19	1894	1081	70	51	96	米
5	1	8	5	1	20	1960	1081	85	50	88	淀
5	1	8	5	1	21	2039	1081	18	50	96	粉
5	1	8	5	1	22	2068	1114	12	13	94	、
3	1	8	6	0	0	459	1154	1452	352	-1	
4	1	8	6	1	0	772	1154	746	53	-1	
5	1	8	6	1	1	772	1154	105	53	96	糊
5	1	8	6	1	2	888	1189	13	13	96	精
5	1	8	6	1	3	0	0	2501	3528	96	、
5	1	8	6	1	4	941	1156	79	49	90	硬
5	1	8	6	1	5	1023	1156	83	50	52	脂
5	1	8	6	1	6	1112	1156	51	50	96	酸
5	1	8	6	1	7	1172	1189	13	13	95	镁
5	1	8	6	1	8	0	0	2501	3528	96	、
5	1	8	6	1	9	1225	1155	72	51	96	薄
5	1	8	6	1	10	1298	1155	31	50	94	膜
5	1	8	6	1	11	1335	1156	50	49	96	包
5	1	8	6	1	12	1393	1156	84	49	91	衣
5	1	8	6	1	13	1478	1157	16	50	96	剂
5	1	8	6	1	14	1505	1189	13	13	96	。
4	1	8	6	2	0	459	1231	1338	52	-1	
5	1	8	6	2	1	459	1231	81	50	96	【
5	1	8	6	2	2	0	0	2501	3528	88	性
5	1	8	6	2	3	0	0	2501	3528	18	“
5	1	8	6	2	4	0	0	2501	3528	18	“
5	1	8	6	2	5	659	1231	81	50	69	状
5	1	8	6	2	6	0	0	2501	3528	95	】
5	1	8	6	2	7	771	1231	49	51	95	本
5	1	8	6	2	8	831	1232	43	49	96	品
5	1	8	6	2	9	885	1231	69	51	96	为
5	1	8	6	2	10	950	1231	57	51	86	薄
5	1	8	6	2	11	1007	1231	42	51	95	膜
5	1	8	6	2	12	1056	1231	104	51	93	衣
5	1	8	6	2	13	1172	1263	9	15	96	片
5	1	8	6	2	14	0	0	2501	3528	96	,
5	1	8	6	2	15	1226	1231	58	51	96	除
5	1	8	6	2	16	1284	1231	71	50	96	去
5	1	8	6	2	17	1351	1231	33	51	90	濂
5	1	8	6	2	18	1391	1231	49	50	96	膜
5	1	8	6	2	19	1446	1232	103	50	91	衣
5	1	8	6	2	20	1558	1277	3	2	96	后
5	1	8	6	2	21	1563	1232	66	49	96	显
5	1	8	6	2	22	1626	1232	35	51	96	淡
5	1	8	6	2	23	1670	1232	49	50	70	祸
5	1	8	6	2	24	1728	1231	48	51	96	色
5	1	8	6	2	25	1785	1265	12	13	96	。
4	1	8	6	3	0	459	1305	1452	51	-1	
5	1	8	6	3	1	459	1305	81	49	92	【
5	1	8	6	3	2	0	0	2501	3528	91	适
5	1	8	6	3	3	574	1305	49	48	96	应
5	1	8	6	3	4	658	1305	82	49	93	症
5	1	8	6	3	5	0	0	2501	3528	95	】
5	1	8	6	3	6	773	1305	44	50	95	用
5	1	8	6	3	7	827	1307	50	48	96	于
5	1	8	6	3	8	884	1305	50	50	96	骨
5	1	8	6	3	9	940	1305	51	51	96	性
5	1	8	6	3	10	999	1305	61	50	96	关
5	1	8	6	3	11	1059	1305	102	51	96	节
5	1	8	6	3	12	1172	1330	9	24	95	炎
5	1	8	6	3	13	0	0	2501	3528	94	;
5	1	8	6	3	14	1225	1306	103	48	96	风
5	1	8	6	3	15	1338	1339	14	13	74	湿
5	1	8	6	3	16	0	0	2501	3528	91	、
5	1	8	6	3	17	1391	1305	48	50	95	类
5	1	8	6	3	18	1446	1307	70	47	96	风
5	1	8	6	3	19	1510	1307	40	47	76	湿
5	1	8	6	3	20	1557	1306	50	50	96	关
5	1	8	6	3	21	1614	1305	104	51	96	节
5	1	8	6	3	22	1729	1330	9	25	96	炎
5	1	8	6	3	23	0	0	2501	3528	90	;
5	1	8	6	3	24	1781	1306	78	50	93	骨
5	1	8	6	3	25	1854	1306	34	49	95	折
5	1	8	6	3	26	1898	1339	13	13	96	。
4	1	8	6	4	0	459	1380	403	59	-1	
5	1	8	6	4	1	459	1380	81	49	96	【
5	1	8	6	4	2	0	0	2501	3528	60	规
5	1	8	6	4	3	0	0	2501	3528	57	“
5	1	8	6	4	4	659	1380	50	52	89	格
5	1	8	6	4	5	720	1381	142	58	53	】0.38
4	1	8	6	5	0	459	1455	441	51	-1	
5	1	8	6	5	1	459	1456	19	48	94	【
5	1	8	6	5	2	491	1456	46	50	92	用
5	1	8	6	5	3	545	1455	51	49	96	法
5	1	8	6	5	4	603	1456	106	50	96	用
5	1	8	6	5	5	720	1456	20	49	93	量
5	1	8	6	5	6	0	0	2501	3528	91	】
5	1	8	6	5	7	778	1458	71	48	91	口
5	1	8	6	5	8	852	1458	48	48	64	服
3	1	8	7	0	0	458	1529	1593	203	-1	
4	1	8	7	1	0	813	1529	1238	52	-1	
5	1	8	7	1	1	813	1530	64	50	63	「
5	1	8	7	1	2	887	1537	13	39	96	次
5	1	8	7	1	3	913	1548	46	12	87	1
5	1	8	7	1	4	967	1536	24	40	91	一
5	1	8	7	1	5	0	0	2501	3528	96	2
5	1	8	7	1	6	1000	1529	67	52	96	片
5	1	8	7	1	7	1154	1549	7	4	96	,
5	1	8	7	1	8	1176	1531	34	48	34	日
5	1	8	7	1	9	1222	1532	45	44	96	3
5	1	8	7	1	10	1262	1530	60	50	96	次
5	1	8	7	1	11	0	0	2501	3528	95	。
5	1	8	7	1	12	1363	1530	101	50	96	饭
5	1	8	7	1	13	1473	1532	21	48	95	后
5	1	8	7	1	14	1496	1531	79	50	96	服
5	1	8	7	1	15	1588	1562	9	15	96	用
5	1	8	7	1	16	1644	1536	46	40	89	,15
5	1	8	7	1	17	1697	1530	102	51	92	天
5	1	8	7	1	18	1811	1552	2	2	96	为
5	1	8	7	1	19	1850	1549	8	5	89	一
5	1	8	7	1	20	1865	1530	71	51	91	个
5	1	8	7	1	21	1938	1531	61	50	96	疗
5	1	8	7	1	22	2000	1532	29	46	95	程
5	1	8	7	1	23	2038	1563	13	13	93	。
4	1	8	7	2	0	459	1604	669	52	-1	
5	1	8	7	2	1	459	1605	19	49	95	【
5	1	8	7	2	2	490	1606	48	49	80	不
5	1	8	7	2	3	553	1605	39	49	87	艮
5	1	8	7	2	4	603	1605	106	50	96	反
5	1	8	7	2	5	720	1606	20	49	96	应
5	1	8	7	2	6	0	0	2501	3528	95	】
5	1	8	7	2	7	771	1604	105	52	93	偶
5	1	8	7	2	8	0	0	2501	3528	96	见
5	1	8	7	2	9	889	1605	41	51	92	胃
5	1	8	7	2	10	941	1606	93	50	96	部
5	1	8	7	2	11	1029	1606	76	48	93	不
5	1	8	7	2	12	0	0	2501	3528	92	适
5	1	8	7	2	13	1114	1638	14	13	96	。
4	1	8	7	3	0	458	1680	782	52	-1	
5	1	8	7	3	1	458	1680	82	51	96	【
5	1	8	7	3	2	0	0	2501	3528	86	禁
5	1	8	7	3	3	0	0	2501	3528	41	ˇ“
5	1	8	7	3	4	659	1682	48	49	88	忌
5	1	8	7	3	5	719	1681	21	49	88	】
5	1	8	7	3	6	770	1681	52	50	92	对
5	1	8	7	3	7	827	1680	49	52	96	本
5	1	8	7	3	8	887	1681	44	49	96	品
5	1	8	7	3	9	941	1680	50	50	96	过
5	1	8	7	3	10	998	1680	50	52	95	敏
5	1	8	7	3	11	1054	1681	49	50	96	者
5	1	8	7	3	12	1111	1680	103	51	70	禁
5	1	8	7	3	13	0	0	2501	3528	96	用
5	1	8	7	3	14	1228	1714	12	12	90	。
2	1	9	0	0	0	458	1828	1589	1562	-1	
3	1	9	1	0	0	458	1828	1589	1562	-1	
4	1	9	1	1	0	770	1828	860	52	-1	
5	1	9	1	1	1	770	1835	35	39	91	2.
5	1	9	1	1	2	830	1829	77	50	95	当
5	1	9	1	1	3	906	1829	59	51	96	药
5	1	9	1	1	4	965	1830	38	48	95	品
5	1	9	1	1	5	1004	1828	45	51	96	性
5	1	9	1	1	6	1054	1829	51	50	96	状
5	1	9	1	1	7	1111	1828	74	51	96	发
5	1	9	1	1	8	1188	1829	29	47	96	生
5	1	9	1	1	9	1225	1828	104	51	96	改
5	1	9	1	1	10	1337	1835	29	38	93	变
5	1	9	1	1	11	1364	1829	20	51	91	时
5	1	9	1	1	12	1391	1829	69	51	82	禁
5	1	9	1	1	13	1468	1829	49	50	93	止
5	1	9	1	1	14	1517	1829	87	51	93	使
5	1	9	1	1	15	0	0	2501	3528	92	用
5	1	9	1	1	16	1617	1863	13	12	87	。
4	1	9	1	2	0	458	1904	1509	51	-1	
5	1	9	1	2	1	458	1905	53	48	96	【
5	1	9	1	2	2	506	1904	62	51	61	华
5	1	9	1	2	3	567	1910	26	43	96	妇
5	1	9	1	2	4	603	1907	82	48	96	及
5	1	9	1	2	5	682	1904	61	51	94	哺
5	1	9	1	2	6	745	1904	53	50	92	乳
5	1	9	1	2	7	788	1907	31	48	96	期
5	1	9	1	2	8	828	1904	64	50	92	妇
5	1	9	1	2	9	893	1905	41	49	77	女
5	1	9	1	2	10	941	1904	105	51	96	用
5	1	9	1	2	11	1060	1905	20	49	96	药
5	1	9	1	2	12	0	0	2501	3528	94	】
5	1	9	1	2	13	1111	1904	50	51	95	本
5	1	9	1	2	14	1171	1906	76	48	93	品
5	1	9	1	2	15	1246	1905	56	50	93	对
5	1	9	1	2	16	1296	1904	66	51	39	孝
5	1	9	1	2	17	1358	1911	24	42	96	妇
5	1	9	1	2	18	1393	1907	78	48	96	及
5	1	9	1	2	19	1470	1904	60	51	85	哺
5	1	9	1	2	20	1532	1906	20	48	96	乳
5	1	9	1	2	21	1557	1904	79	51	96	期
5	1	9	1	2	22	1636	1911	41	42	93	妇
5	1	9	1	2	23	1676	1905	98	50	88	女
5	1	9	1	2	24	0	0	2501	3528	96	安
5	1	9	1	2	25	1782	1904	50	50	96	全
5	1	9	1	2	26	1838	1905	84	50	93	有
5	1	9	1	2	27	1912	1905	31	49	85	效
5	1	9	1	2	28	1955	1938	12	13	96	。
4	1	9	1	3	0	458	1978	782	51	-1	
5	1	9	1	3	1	458	1978	19	49	77	【
5	1	9	1	3	2	490	1981	49	47	77	儿
5	1	9	1	3	3	545	1978	50	49	92	童
5	1	9	1	3	4	602	1978	104	51	96	用
5	1	9	1	3	5	720	1979	19	49	94	药
5	1	9	1	3	6	0	0	2501	3528	93	】
5	1	9	1	3	7	771	1981	49	48	90	儿
5	1	9	1	3	8	827	1978	50	49	96	童
5	1	9	1	3	9	884	1979	78	50	96	用
5	1	9	1	3	10	963	1978	51	51	92	药
5	1	9	1	3	11	1013	1978	34	50	96	请
5	1	9	1	3	12	1053	1978	106	50	83	遵
5	1	9	1	3	13	1169	1979	47	50	28	医
5	1	9	1	3	14	0	0	2501	3528	72	嘱
5	1	9	1	3	15	1228	2011	12	13	94	。
4	1	9	1	4	0	458	2053	893	52	-1	
5	1	9	1	4	1	458	2054	19	49	96	【
5	1	9	1	4	2	489	2053	50	50	96	老
5	1	9	1	4	3	545	2053	49	51	87	年
5	1	9	1	4	4	603	2053	103	52	96	用
5	1	9	1	4	5	719	2055	20	48	96	药
5	1	9	1	4	6	0	0	2501	3528	95	】
5	1	9	1	4	7	772	2053	50	50	96	老
5	1	9	1	4	8	828	2053	68	52	96	年
5	1	9	1	4	9	897	2055	35	49	92	患
5	1	9	1	4	10	941	2054	49	50	96	者
5	1	9	1	4	11	998	2054	80	50	96	用
5	1	9	1	4	12	1077	2054	50	50	96	药
5	1	9	1	4	13	1127	2053	34	51	96	请
5	1	9	1	4	14	1166	2053	104	50	92	遵
5	1	9	1	4	15	1281	2055	47	50	92	医
5	1	9	1	4	16	0	0	2501	3528	80	嘱
5	1	9	1	4	17	1338	2088	13	12	85	。
4	1	9	1	5	0	458	2128	1566	53	-1	
5	1	9	1	5	1	458	2129	56	50	96	【
5	1	9	1	5	2	511	2129	27	51	96	药
5	1	9	1	5	3	545	2129	80	51	96	物
5	1	9	1	5	4	627	2133	23	46	93	相
5	1	9	1	5	5	660	2129	71	51	92	互
5	1	9	1	5	6	730	2129	87	51	96	作
5	1	9	1	5	7	832	2130	19	49	96	用
5	1	9	1	5	8	0	0	2501	3528	96	】
5	1	9	1	5	9	883	2129	105	51	95	本
5	1	9	1	5	10	0	0	2501	3528	96	品
5	1	9	1	5	11	997	2129	50	50	83	避
5	1	9	1	5	12	1057	2128	57	51	96	免
5	1	9	1	5	13	1120	2128	82	52	96	与
5	1	9	1	5	14	1196	2133	21	47	82	氨
5	1	9	1	5	15	1226	2130	47	49	78	基
5	1	9	1	5	16	1280	2130	49	50	96	酸
5	1	9	1	5	17	1335	2129	78	51	95	类
5	1	9	1	5	18	1413	2129	82	52	94	药
5	1	9	1	5	19	1506	2163	12	13	94	物
5	1	9	1	5	20	0	0	2501	3528	96	、
5	1	9	1	5	21	1557	2128	51	52	95	碱
5	1	9	1	5	22	1614	2129	49	51	96	性
5	1	9	1	5	23	1670	2129	106	52	96	药
5	1	9	1	5	24	1786	2132	6	48	96	物
5	1	9	1	5	25	1794	2131	70	49	93	同
5	1	9	1	5	26	1861	2130	51	50	93	时
5	1	9	1	5	27	1910	2129	87	52	93	使
5	1	9	1	5	28	0	0	2501	3528	93	用
5	1	9	1	5	29	2011	2163	13	13	96	。
4	1	9	1	6	0	458	2202	1284	53	-1	
5	1	9	1	6	1	458	2203	54	50	96	【
5	1	9	1	6	2	512	2203	26	51	94	药
5	1	9	1	6	3	546	2202	105	52	96	物
5	1	9	1	6	4	658	2204	50	49	96	过
5	1	9	1	6	5	719	2204	20	49	93	量
5	1	9	1	6	6	0	0	2501	3528	95	】
5	1	9	1	6	7	770	2203	50	50	96	过
5	1	9	1	6	8	826	2204	80	49	96	量
5	1	9	1	6	9	908	2206	26	47	95	服
5	1	9	1	6	10	942	2204	46	50	95	用
5	1	9	1	6	11	999	2203	80	51	96	易
5	1	9	1	6	12	1075	2203	62	51	96	增
5	1	9	1	6	13	1140	2207	56	46	96	加
5	1	9	1	6	14	1199	2205	17	33	89	不
5	1	9	1	6	15	1231	2203	97	50	95	良
5	1	9	1	6	16	1335	2203	50	49	96	反
5	1	9	1	6	17	1394	2236	8	15	95	应
5	1	9	1	6	18	0	0	2501	3528	96	,
5	1	9	1	6	19	1446	2203	79	52	93	停
5	1	9	1	6	20	1525	2203	57	51	95	药
5	1	9	1	6	21	1585	2206	48	48	96	即
5	1	9	1	6	22	1634	2203	85	52	96	消
5	1	9	1	6	23	0	0	2501	3528	78	失
5	1	9	1	6	24	1730	2237	12	12	93	。
4	1	9	1	7	0	458	2278	1589	52	-1	
5	1	9	1	7	1	458	2278	54	50	96	【
5	1	9	1	7	2	512	2279	26	50	92	药
5	1	9	1	7	3	546	2282	49	44	96	理
5	1	9	1	7	4	603	2279	105	50	96	毒
5	1	9	1	7	5	720	2280	19	48	96	理
5	1	9	1	7	6	0	0	2501	3528	95	】
5	1	9	1	7	7	773	2278	69	52	96	本
5	1	9	1	7	8	841	2280	65	49	96	品
5	1	9	1	7	9	909	2280	27	49	95	具
5	1	9	1	7	10	946	2278	51	51	93	有
5	1	9	1	7	11	1010	2281	60	48	92	调
5	1	9	1	7	12	1072	2279	43	49	96	节
5	1	9	1	7	13	1124	2278	76	52	96	骨
5	1	9	1	7	14	1199	2278	90	52	96	代
5	1	9	1	7	15	1303	2311	8	15	69	谢
5	1	9	1	7	16	0	0	2501	3528	96	,
5	1	9	1	7	17	1359	2279	45	51	94	刺
5	1	9	1	7	18	1414	2278	50	51	90	激
5	1	9	1	7	19	1472	2280	48	49	96	成
5	1	9	1	7	20	1531	2280	104	50	96	骨
5	1	9	1	7	21	0	0	2501	3528	96	细
5	1	9	1	7	22	1648	2279	105	51	96	胞
5	1	9	1	7	23	1764	2279	49	50	96	增
5	1	9	1	7	24	1826	2312	9	15	96	殖
5	1	9	1	7	25	0	0	2501	3528	96	,
5	1	9	1	7	26	1880	2279	52	51	96	促
5	1	9	1	7	27	1938	2279	88	50	96	进
5	1	9	1	7	28	2017	2281	30	49	96	新
4	1	9	1	8	0	771	2354	1276	54	-1	
5	1	9	1	8	1	771	2355	75	50	96	骨
5	1	9	1	8	2	845	2355	92	49	96	形
5	1	9	1	8	3	951	2387	9	14	95	成
5	1	9	1	8	4	0	0	2501	3528	96	,
5	1	9	1	8	5	1010	2356	44	47	96	以
5	1	9	1	8	6	1066	2356	85	48	91	及
5	1	9	1	8	7	1149	2357	42	48	92	调
5	1	9	1	8	8	1192	2355	98	49	96	节
5	1	9	1	8	9	1302	2389	12	12	50	钜
5	1	9	1	8	10	0	0	2501	3528	96	、
5	1	9	1	8	11	1358	2355	74	50	96	磷
5	1	9	1	8	12	1432	2354	88	52	96	代
5	1	9	1	8	13	1534	2387	9	15	62	谢
5	1	9	1	8	14	0	0	2501	3528	95	,
5	1	9	1	8	15	1588	2355	86	53	96	增
5	1	9	1	8	16	1677	2364	19	41	96	加
5	1	9	1	8	17	1705	2355	80	50	96	骨
5	1	9	1	8	18	1785	2357	51	48	37	钪
5	1	9	1	8	19	1833	2356	86	49	96	沉
5	1	9	1	8	20	1921	2359	31	45	96	积
5	1	9	1	8	21	2000	2358	4	47	96	,
5	1	9	1	8	22	2006	2355	41	50	96	防
4	1	9	1	9	0	773	2429	411	50	-1	
5	1	9	1	9	1	773	2430	61	48	96	治
5	1	9	1	9	2	837	2429	40	50	96	骨
5	1	9	1	9	3	884	2429	50	50	49	货
5	1	9	1	9	4	940	2429	77	50	96	疏
5	1	9	1	9	5	1018	2429	53	49	96	松
5	1	9	1	9	6	1069	2429	89	50	96	作
5	1	9	1	9	7	0	0	2501	3528	96	用
5	1	9	1	9	8	1171	2462	13	13	95	。
4	1	9	1	10	0	458	2504	1228	52	-1	
5	1	9	1	10	1	458	2505	54	48	96	【
5	1	9	1	10	2	513	2504	56	51	95	药
5	1	9	1	10	3	572	2505	67	50	96	代
5	1	9	1	10	4	637	2505	49	50	96	动
5	1	9	1	10	5	686	2505	78	49	96	力
